Song Title, Artist, Length, Album
So Chi Me Ledaly,Hikmatullah Johar,549.956,So Ke Me Leedle Khper Dilbar Ne Wi, Vol. 8
Ma Bandy Deer,Hikmatullah Johar,467.435,So Ke Me Leedle Khper Dilbar Ne Wi, Vol. 8
Pa Madina Hkuly Mazy,Hikmatullah Johar,380.552,So Ke Me Leedle Khper Dilbar Ne Wi, Vol. 8
Noor Da Soor Daag,Hikmatullah Johar,369.11,So Ke Me Leedle Khper Dilbar Ne Wi, Vol. 8
Zaar Dy Sham Allah,Hikmatullah Johar,297.927,So Ke Me Leedle Khper Dilbar Ne Wi, Vol. 8
Laas Pa Duga Yem,Hikmatullah Johar,292.754,So Ke Me Leedle Khper Dilbar Ne Wi, Vol. 8
Tang Pa Ajam,Hikmatullah Johar,291.161,So Ke Me Leedle Khper Dilbar Ne Wi, Vol. 8
Deera Haista Da Yaar,Hikmatullah Johar,287.086,So Ke Me Leedle Khper Dilbar Ne Wi, Vol. 8
Leedle,DJ,260.272,Any Signs of Riddim - EP
Da Sta Deedar Ta Me,Hikmatullah Johar,252.813,So Ke Me Leedle Khper Dilbar Ne Wi, Vol. 8
